Info 0    [14:04:07.967] Starting TS Server
Info 1    [14:04:07.969] Version: 4.5.4
Info 2    [14:04:07.969] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-1/phase-1-object-orientation-in-javascript/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/958bba8faf27834169e8a79ae45478bd/tscancellation*
Info 3    [14:04:07.969] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [14:04:07.969] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [14:04:07.984] Format host information updated
Info 6    [14:04:08.038] Search path: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-object-orientation-in-javascript
Info 7    [14:04:08.039] For info: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-object-orientation-in-javascript/index.js :: No config files found.
Info 8    [14:04:08.045] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [14:04:08.599] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 554.2618829999119ms
Info 10   [14:04:08.600] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [14:04:08.600] 	Files (19)

Info 12   [14:04:08.600] -----------------------------------------------
Info 13   [14:04:47.193] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [14:04:47.209] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 15.061843000352383ms
Info 15   [14:04:47.209] Different program with same set of files
Info 16   [14:04:48.165] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [14:04:48.178] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 13.086051999591291ms
Info 18   [14:04:48.178] Different program with same set of files
Info 19   [14:04:56.010] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [14:04:56.017] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 6.633844000287354ms
Info 21   [14:04:56.029] Different program with same set of files
Info 22   [14:04:56.932] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [14:04:56.940] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 8.167104000225663ms
Info 24   [14:04:56.940] Different program with same set of files
Info 25   [14:05:03.409] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [14:05:03.418] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 8.160649999976158ms
Info 27   [14:05:03.418] Different program with same set of files
Info 28   [14:05:06.115] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [14:05:06.123] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 7.441407999955118ms
Info 30   [14:05:06.123] Different program with same set of files
